"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ"
0.053,94.0832,-22.2163,86.7683,-14.0709,86.7683,-14.0709,492.116,-152.065,-0.733106,-0.0716156,-29.6456,1.98664,1.6267,-0.518265
0.054,94.0158,-21.3303,86.7873,-14.4428,86.7873,-14.4428,443.486,-163.864,-0.734025,-0.0720391,-30.3406,2.00062,1.68826,-0.518246
0.055,93.9377,-20.4646,86.8067,-14.814,86.8067,-14.814,398.44,-173.593,-0.734893,-0.0731577,-31.0351,2.01441,1.74994,-0.518097
0.056,93.8512,-19.5807,86.8265,-15.1843,86.8265,-15.1843,359.65,-182.532,-0.735698,-0.0749874,-31.7288,2.02799,1.81172,-0.517701
0.057,93.7688,-18.7093,86.8467,-15.5535,86.8467,-15.5535,324.986,-190.951,-0.736447,-0.0775167,-32.4218,2.04135,1.8736,-0.51708
0.058,93.6796,-17.8409,86.8674,-15.9211,86.8674,-15.9211,293.082,-198.488,-0.737133,-0.0807451,-33.1141,2.0545,1.93561,-0.516223
0.059,93.5889,-16.978,86.8885,-16.287,86.8885,-16.287,264.235,-205.723,-0.737753,-0.08467,-33.8058,2.06742,1.99775,-0.515122
0.06,93.4883,-16.1151,86.9099,-16.6507,86.9099,-16.6507,237.553,-212.565,-0.738301,-0.0892917,-34.4967,2.08012,2.06004,-0.513763
0.061,93.3833,-15.2575,86.9318,-17.0121,86.9318,-17.0121,212.934,-219.089,-0.738776,-0.094606,-35.1869,2.09257,2.12248,-0.512135
0.062,93.2741,-14.4023,86.9624,-17.5041,86.9624,-17.5041,189.735,-225.202,-0.739173,-0.100613,-35.8764,2.10478,2.18508,-0.510226
0.063,93.1584,-13.5502,86.9851,-17.8586,86.9851,-17.8586,168.364,-231.19,-0.739485,-0.107312,-36.5651,2.11673,2.24786,-0.508025
0.064,93.0438,-12.6975,87.0082,-18.2097,87.0082,-18.2097,148.444,-236.934,-0.739713,-0.114702,-37.2531,2.12844,2.31081,-0.505519
0.065,92.9223,-11.85,87.0315,-18.5571,87.0315,-18.5571,129.653,-242.224,-0.739852,-0.122782,-37.9404,2.13987,2.37395,-0.502697
0.066,92.7949,-11.0026,87.0551,-18.9006,87.0551,-18.9006,111.829,-247.401,-0.739897,-0.13155,-38.6269,2.15104,2.43729,-0.49955
0.067,92.6667,-10.1609,87.079,-19.2398,87.079,-19.2398,95.2935,-252.35,-0.739847,-0.141005,-39.3127,2.16194,2.50084,-0.496068
0.068,92.5326,-9.31765,87.1032,-19.5745,87.1032,-19.5745,79.6233,-257.066,-0.739697,-0.151149,-39.9977,2.17255,2.5646,-0.492241
0.069,92.396,-8.47636,87.1276,-19.9043,87.1276,-19.9043,64.6968,-261.491,-0.739444,-0.161979,-40.682,2.18289,2.62857,-0.488063
0.07,92.2557,-7.64003,87.1521,-20.2291,87.1521,-20.2291,50.7129,-265.76,-0.739087,-0.173497,-41.3655,2.19295,2.69277,-0.483525
0.071,92.1098,-6.8029,87.1769,-20.5484,87.1769,-20.5484,37.3945,-269.561,-0.73862,-0.185701,-42.0481,2.20271,2.75721,-0.478622
0.072,91.9618,-5.97045,87.2036,-20.8848,87.2036,-20.8848,24.7192,-273.454,-0.738041,-0.198592,-42.7301,2.21219,2.82188,-0.47335
0.073,91.8138,-5.13822,87.2286,-21.192,87.2286,-21.192,12.8039,-276.935,-0.737349,-0.212166,-43.4112,2.22138,2.88679,-0.467704
0.074,91.6568,-4.30773,87.2537,-21.493,87.2537,-21.493,1.35023,-280.217,-0.736539,-0.226426,-44.0916,2.23027,2.95195,-0.46168
0.075,1534.66,-454.94,87.2225,-21.7059,87.2225,-21.7059,250.834,92.1035,-1.90655,0.124929,-43.056,2.40586,2.58089,-0.338517
0.076,597.332,202.684,87.1695,-21.8817,87.1695,-21.8817,247.849,101.843,-2.31634,-0.0574096,-41.837,2.61706,2.16954,-0.31174
0.077,549.53,207.764,87.1105,-22.0498,87.1105,-22.0498,244.988,97.9344,-2.6876,-0.243998,-40.6145,2.8211,1.7628,-0.304154
0.078,1762.59,-2180.39,87.0216,-22.2,87.0216,-22.2,242.154,-38.3337,-4.04522,1.51068,-33.3418,2.53073,-0.103605,-0.040124
0.079,519.501,-74.8022,86.9309,-22.328,86.9309,-22.328,231.244,-1.50222,-4.39254,1.55373,-29.5908,2.53942,-1.06866,-0.128026
0.08,768.327,98.0749,86.847,-22.4281,86.847,-22.4281,235.023,3.60607,-4.94253,1.45616,-26.1603,2.5697,-1.97527,-0.242344
0.081,840.779,142.791,86.7646,-22.5012,86.7646,-22.5012,239.504,5.83775,-5.55176,1.32217,-22.8387,2.60855,-2.87436,-0.367593
0.082,881.405,253.706,86.731,-22.5249,86.731,-22.5249,242.927,13.0403,-6.19418,1.09787,-19.7703,2.67309,-3.72574,-0.493535
0.083,703.827,130.826,86.6461,-22.5672,86.6461,-22.5672,250.606,34.7539,-6.69226,0.973577,-18.1003,2.77092,-4.25573,-0.58995
0.084,476.914,148.096,86.5621,-22.5972,86.5621,-22.5972,252.048,66.2448,-7.00573,0.835191,-17.2901,2.88652,-4.57246,-0.638255
0.085,506.881,115.299,86.4758,-22.6157,86.4758,-22.6157,256.494,53.1362,-7.34377,0.723501,-16.7214,2.96945,-4.83407,-0.639443
0.086,515.864,119.799,86.3808,-22.6227,86.3808,-22.6227,258.669,53.4829,-7.68932,0.60812,-16.2027,3.05014,-5.08557,-0.621361
0.087,504.561,151.891,86.2752,-22.62,86.2752,-22.62,257.561,60.1749,-8.02582,0.466554,-15.6604,3.14042,-5.34188,-0.599014
0.088,485.809,189.506,86.159,-22.6085,86.159,-22.6085,255.227,68.0435,-8.34722,0.294284,-15.0734,3.24354,-5.60678,-0.580496
0.089,457.767,229.501,86.0332,-22.5887,86.0332,-22.5887,252.011,75.5664,-8.64591,0.0893541,-14.4363,3.36015,-5.88023,-0.569582
0.09,423.809,270.56,85.8998,-22.5613,85.8998,-22.5613,248.249,82.4924,-8.91707,-0.149122,-13.7481,3.49026,-6.16139,-0.56704
0.091,394.179,307.393,85.761,-22.5271,85.761,-22.5271,244.808,88.7647,-9.16421,-0.417707,-13.0118,3.63338,-6.44964,-0.573124
0.092,364.599,341.195,85.5178,-22.4554,85.5178,-22.4554,241.361,94.4122,-9.38748,-0.71399,-12.2308,3.78885,-6.74386,-0.588035
0.093,396.754,162.339,85.3718,-22.4059,85.3718,-22.4059,241.63,10.8338,-9.63714,-0.86431,-11.261,3.8223,-7.08423,-0.598449
0.094,312.534,-75.5848,85.2289,-22.3523,85.2289,-22.3523,237.666,-95.8291,-9.81818,-0.820379,-10.1855,3.66715,-7.44313,-0.591002
0.095,258.351,-51.7955,85.0923,-22.2946,85.0923,-22.2946,233.831,-115.15,-9.95511,-0.795878,-9.35788,3.50616,-7.73738,-0.580841
0.096,222.97,53.2051,84.9619,-22.2324,84.9619,-22.2324,229.025,-79.3979,-10.0633,-0.857151,-8.48531,3.39637,-8.03465,-0.578777
0.097,200.431,162.995,84.8389,-22.1662,84.8389,-22.1662,225.366,-40.3634,-10.1532,-1.00814,-7.54509,3.34537,-8.3415,-0.583623
0.098,180.472,256.312,84.7247,-22.0972,84.7247,-22.0972,222.175,-9.30464,-10.2269,-1.23539,-6.54663,3.3449,-8.65615,-0.59399
0.099,161.823,333.758,84.6207,-22.0268,84.6207,-22.0268,219.139,14.859,-10.2855,-1.52596,-5.49993,3.38629,-8.9763,-0.607178
0.1,145.191,398.959,84.5281,-21.9565,84.5281,-21.9565,216.329,34.1966,-10.3306,-1.86986,-4.41076,3.46299,-9.30082,-0.621567
0.101,132.021,455.314,84.4477,-21.8875,84.4477,-21.8875,213.781,50.2063,-10.3651,-2.25985,-3.27985,3.57052,-9.62979,-0.636021
0.102,120.584,505.246,84.397,-21.8381,84.397,-21.8381,211.475,63.7648,-10.3903,-2.69068,-2.10926,3.70546,-9.96301,-0.649854
0.103,0.691196,203.172,84.3398,-21.7752,84.3398,-21.7752,198.571,-30.4616,-10.3176,-2.87469,-1.51707,3.68146,-10.1573,-0.629775
0.104,-74.3538,48.9735,84.2988,-21.7199,84.2988,-21.7199,189.243,-102.185,-10.1838,-2.93271,-1.16439,3.58902,-10.2943,-0.602764
0.105,-32.2359,60.7221,84.2731,-21.6744,84.2731,-21.6744,188.108,-97.9143,-10.0844,-3.00037,-0.808272,3.50078,-10.4308,-0.592019
0.106,-31.7609,67.5776,84.26,-21.6386,84.26,-21.6386,171.902,-76.3186,-9.98562,-3.07367,-0.718212,3.45576,-10.5045,-0.58747
0.107,-16.754,68.9492,84.2575,-21.6117,84.2575,-21.6117,160.937,-60.0982,-9.89918,-3.14812,-0.767411,3.43202,-10.5471,-0.588621
0.108,3.06973,57.4418,84.2639,-21.5931,84.2639,-21.5931,158.197,-57.3185,-9.82904,-3.21321,-0.865545,3.41293,-10.5804,-0.593153
0.109,28.3244,38.842,84.2776,-21.582,84.2776,-21.582,160.257,-62.5572,-9.77967,-3.26313,-0.972513,3.39126,-10.6136,-0.59843
0.11,50.9454,16.4951,84.2976,-21.5778,84.2976,-21.5778,164.741,-70.771,-9.74889,-3.29483,-1.07415,3.36434,-10.6504,-0.602962
0.111,70.1362,-7.52202,84.323,-21.5794,84.323,-21.5794,170.191,-79.7015,-9.73389,-3.30693,-1.16634,3.33132,-10.6922,-0.606685
0.112,94.0235,-28.4264,84.3634,-21.589,84.3634,-21.589,175.697,-88.4923,-9.73859,-3.302,-1.24955,3.29218,-10.7391,-0.609209
0.113,112.502,-50.044,84.3976,-21.6009,84.3976,-21.6009,181.795,-97.201,-9.75849,-3.27944,-1.32398,3.24681,-10.7914,-0.610454
0.114,130.721,-70.1205,84.4343,-21.6157,84.4343,-21.6157,187.819,-105.706,-9.79339,-3.2405,-1.39008,3.19524,-10.8492,-0.610839
0.115,152.094,-86.4808,84.4725,-21.6326,84.4725,-21.6326,193.7,-113.808,-9.84589,-3.18822,-1.44963,3.1378,-10.9122,-0.610144
0.116,167.824,-102.784,84.5117,-21.6507,84.5117,-21.6507,199.78,-121.643,-9.91135,-3.12266,-1.50289,3.07457,-10.9804,-0.60831
0.117,182.499,-117.191,84.5514,-21.6694,84.5514,-21.6694,205.572,-129.052,-9.98892,-3.04534,-1.55045,3.00582,-11.0536,-0.605703
0.118,195.778,-129.689,84.5911,-21.688,84.5911,-21.688,211.114,-135.967,-10.0775,-2.95785,-1.59313,2.9319,-11.1316,-0.60253
0.119,208.629,-139.136,84.6304,-21.7061,84.6304,-21.7061,216.259,-142.219,-10.1766,-2.86266,-1.63285,2.85345,-11.2137,-0.598319
0.12,220.161,-148.074,84.6688,-21.7232,84.6688,-21.7232,221.436,-148.099,-10.2854,-2.76019,-1.66752,2.77038,-11.3005,-0.593975
0.121,228.446,-154.957,84.7061,-21.7391,84.7061,-21.7391,226.148,-153.168,-10.401,-2.65212,-1.69915,2.68348,-11.3912,-0.589098
0.122,235.387,-160.286,84.7366,-21.7513,84.7366,-21.7513,230.518,-157.549,-10.5224,-2.53972,-1.72818,2.59325,-11.4856,-0.583858
0.123,241.08,-164.081,84.7713,-21.7641,84.7713,-21.7641,234.553,-161.302,-10.6485,-2.42424,-1.75498,2.50015,-11.5833,-0.578546
0.124,245.362,-166.363,84.8043,-21.7749,84.8043,-21.7749,238.082,-164.303,-10.7783,-2.30691,-1.78124,2.40495,-11.6836,-0.572809
0.125,248.574,-167.657,84.8354,-21.7837,84.8354,-21.7837,241.39,-166.741,-10.9109,-2.18855,-1.80613,2.30789,-11.7866,-0.567157
0.126,250.492,-167.815,84.8647,-21.7905,84.8647,-21.7905,244.289,-168.515,-11.0451,-2.07009,-1.83006,2.20949,-11.8919,-0.561487
0.127,251.399,-167.01,84.892,-21.7951,84.892,-21.7951,246.849,-169.677,-11.1803,-1.95229,-1.85343,2.11023,-11.9992,-0.555807
0.128,251.426,-165.429,84.9174,-21.7976,84.9174,-21.7976,249.039,-170.258,-11.3155,-1.83581,-1.87653,2.01054,-12.1082,-0.550226
0.129,250.734,-163.155,84.9408,-21.798,84.9408,-21.798,250.911,-170.335,-11.4504,-1.72121,-1.89962,1.91081,-12.2185,-0.544718
0.13,249.415,-160.395,84.9622,-21.7964,84.9622,-21.7964,252.466,-169.937,-11.5843,-1.60888,-1.92286,1.8114,-12.33,-0.539331
0.131,247.599,-157.245,84.9818,-21.793,84.9818,-21.793,253.705,-169.128,-11.7169,-1.49914,-1.94636,1.7126,-12.4424,-0.534089
0.132,245.504,-153.806,84.9871,-21.7917,84.9871,-21.7917,254.758,-167.948,-11.8477,-1.39221,-1.97024,1.61466,-12.5554,-0.529015
0.133,184.957,-286.461,85.0036,-21.7859,85.0036,-21.7859,52.4828,-140.498,-11.9292,-1.17681,-0.879353,1.37878,-12.5896,-0.513965
0.134,-232.367,-306.08,85.008,-21.7773,85.008,-21.7773,-74.1824,-120.06,-11.6696,-0.945369,0.347446,1.16326,-12.3865,-0.503557
0.135,-24.8622,-152.628,85.0128,-21.7736,85.0128,-21.7736,-16.2831,-116.294,-11.5798,-0.839442,1.31523,0.985147,-12.2995,-0.49023
0.136,-71.2225,-138.274,85.0158,-21.7724,85.0158,-21.7724,-29.5578,-130.878,-11.4522,-0.745265,2.13289,0.802312,-12.1949,-0.471827
0.137,-58.2848,-125.705,85.0177,-21.7721,85.0177,-21.7721,-33.3437,-142.41,-11.3353,-0.661379,2.52673,0.662299,-12.0987,-0.45597
0.138,-68.2715,-133.506,85.0199,-21.7728,85.0199,-21.7728,-48.4945,-166.994,-11.2104,-0.571124,2.63453,0.54308,-11.9999,-0.441346
0.139,-79.4286,-131.41,85.0235,-21.7743,85.0235,-21.7743,-64.1977,-189.835,-11.0765,-0.482594,2.60939,0.43057,-11.897,-0.426753
0.14,-84.1422,-129.848,85.0288,-21.7764,85.0288,-21.7764,-72.8846,-199.107,-10.9388,-0.39535,2.53947,0.32069,-11.7916,-0.413006
0.141,-84.5681,-127.143,85.0358,-21.7794,85.0358,-21.7794,-75.8421,-197.795,-10.801,-0.310326,2.46273,0.212996,-11.685,-0.40052
0.142,-82.9314,-123.382,85.046,-21.7842,85.046,-21.7842,-76.482,-191.848,-10.6646,-0.228385,2.39047,0.108172,-11.5777,-0.389396
0.143,-80.3697,-119.189,85.0559,-21.7892,85.0559,-21.7892,-76.5971,-184.63,-10.5305,-0.149878,2.32354,0.00692366,-11.47,-0.379552
0.144,-77.3364,-115.132,85.0668,-21.7951,85.0668,-21.7951,-76.7774,-177.424,-10.3989,-0.0746914,2.26015,-0.0903634,-11.3621,-0.370823
0.145,-73.9572,-111.594,85.0787,-21.802,85.0787,-21.802,-77.0438,-170.639,-10.2703,-0.00240095,2.19864,-0.183629,-11.2539,-0.363013
0.146,-70.2462,-108.794,85.0912,-21.8098,85.0912,-21.8098,-77.3212,-164.416,-10.1448,0.067598,2.13812,-0.273061,-11.1456,-0.355921
0.147,-66.2389,-106.833,85.1043,-21.8184,85.1043,-21.8184,-77.5349,-158.837,-10.0227,0.135993,2.07825,-0.359008,-11.0372,-0.34935
0.148,-62.0072,-105.733,85.1177,-21.8277,85.1177,-21.8277,-77.6369,-153.96,-9.90418,0.203488,2.01903,-0.441918,-10.9288,-0.343113
0.149,-57.6415,-105.463,85.1314,-21.8376,85.1314,-21.8376,-77.6495,-149.828,-9.78934,0.270763,1.96061,-0.522288,-10.8204,-0.337037
0.15,-53.2331,-105.954,85.1453,-21.848,85.1453,-21.848,-77.5719,-146.456,-9.67822,0.33844,1.90319,-0.60063,-10.7121,-0.330967
0.151,-48.8961,-107.11,85.1591,-21.8587,85.1591,-21.8587,-77.4584,-143.828,-9.57076,0.407064,1.84696,-0.67745,-10.6039,-0.324766
