"Timestamp","Pelvis_Yaw_Delta","Pelvis_Yaw_Error","Pelvis_Pitch_Delta","Pelvis_Pitch_Error","Chest_Roll_Delta","Chest_Roll_Error","Chest_Pitch_Delta","Chest_Pitch_Error","LeftFoot_Roll_Delta","LeftFoot_Roll_Error","LeftFoot_Pitch_Delta","LeftFoot_Pitch_Error","RightFoot_Roll_Delta","RightFoot_Roll_Error","Pelvis_Roll_Delta","Pelvis_Roll_Error","RightFoot_Pitch_Delta","RightFoot_Pitch_Error","Chest_Yaw_Delta","Chest_Yaw_Error","LeftFoot_Yaw_Delta","LeftFoot_Yaw_Error","RightFoot_Yaw_Delta","RightFoot_Yaw_Error"
12.103,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.104,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.105,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.106,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.107,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.108,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.109,3.02063e-06,5.45979e-05,-0.000405451,0.00122744,0.000299743,-0.000941837,7.70433e-06,0.00095132,2.46032e-05,0.000111259,0.000282151,-0.00101429,0.000142361,-8.74201e-05,-8.10996e-05,-0.000101171,0.000341011,-0.00117377,-6.01272e-05,-0.000230551,5.41829e-06,-4.07324e-05,-2.26615e-05,4.06616e-05
12.11,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.111,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.112,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.113,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.114,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.115,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.116,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.117,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.118,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.119,1.41534e-05,9.10759e-05,-0.000167139,0.00163619,8.33652e-05,-0.00153119,3.83916e-05,0.000250634,2.90222e-06,-0.000202537,0.000198016,-0.00112094,0.000129294,-4.69219e-05,-0.000137207,-0.000502928,0.000238255,-0.00137085,-5.32838e-05,1.46627e-05,-3.59701e-06,-0.000174888,-1.27982e-05,0.000174605
12.12,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.121,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.122,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.123,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.124,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.125,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.126,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
12.127,3.00586e-05,0.000136677,4.62086e-05,0.00159536,-0.000143448,-0.00175893,-5.62049e-05,-0.000731177,1.96023e-05,0.000168708,9.63989e-05,-0.00142525,0.000133732,0.000120431,-0.000175672,-0.000399188,0.000118297,-0.00168023,-2.37201e-05,0.000200987,-5.46961e-06,-4.10491e-05,-1.00787e-05,4.1593e-05
