"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.023,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.116066,-0.720315,0.517459,172.247,-3.18597,0.630571,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.2306,-21.2987,892.456
0.024,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.152221,-0.759605,0.514707,172.266,-3.19511,0.629496,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.2101,-21.3057,892.398
0.025,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.189723,-0.799794,0.511034,172.286,-3.20452,0.627384,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.1888,-21.3131,892.336
0.026,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.228599,-0.840936,0.506525,172.306,-3.21419,0.624334,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.1666,-21.3207,892.27
0.027,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.268892,-0.883069,0.50125,172.328,-3.22412,0.620434,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.1436,-21.3287,892.2
0.028,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.310655,-0.926225,0.495269,172.349,-3.23432,0.615755,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.1198,-21.337,892.128
0.029,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.35394,-0.970434,0.488633,172.372,-3.2448,0.610359,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.0951,-21.3458,892.052
0.03,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.3988,-1.01573,0.481386,172.394,-3.25556,0.604298,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.0694,-21.355,891.973
0.031,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.445283,-1.06215,0.473566,172.418,-3.26661,0.597616,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.0429,-21.3646,891.89
0.032,-0.192335,-0.00766602,0.330352,0.0664505,0.0622742,-0.10429,0.05778,-0.100347,-0.100647,0.327447,0.023022,-0.182809,1.98691e-08,-4.56731e-09,0.3,-0.3,-0.493431,-1.10974,0.465208,172.442,-3.27796,0.590353,-13.99,-1.09148,0,185.773,-1.92323,0.000486374,0.000121615,1.28272e-05,0.86,94.0155,-21.3747,891.805
