"Timestamp","Actual_ZMPX","Actual_ZMPY","Trajectory_ZMPX","Trajectory_ZMPY","Reference_ZMPX","Reference_ZMPY","MultiBody_ZMPX","MultiBody_ZMPY","CoP_ZMPX","CoP_ZMPY","LinearMomentumX","LinearMomentumY","LinearMomentumZ","AngularMomentumX","AngularMomentumY","AngularMomentumZ","CoMAngularMomentumX","CoMAngularMomentumY","CoMAngularMomentumZ"
0.078,0.608279,-101.357,87.1102,-1.7838,173.011,-2.55928,-48.9881,-126.668,-60.8774,-132.469,0.920294,2.93678,-10.8531,0.726573,0.903683,0.0915189,3.08149,-0.905357,-0.19825
0.079,0.03586,-100.476,87.1817,-1.73474,173.083,-2.49071,-49.4405,-127.205,-60.8774,-132.469,0.993747,2.99996,-10.982,0.668503,0.996825,0.0965275,3.07632,-0.888764,-0.200624
0.08,-0.161423,-100.95,87.2533,-1.68608,173.155,-2.42245,-49.4951,-128.962,-60.8774,-132.469,1.06738,3.06356,-11.1083,0.609077,1.09013,0.101529,3.07021,-0.871931,-0.203046
0.081,0.29499,-100.464,87.3249,-1.63776,173.227,-2.35447,-49.2832,-129.582,-60.8773,-132.469,1.14068,3.12682,-11.2326,0.548998,1.18343,0.106406,3.06318,-0.854614,-0.205551
0.082,0.520907,-100.222,87.3964,-1.58985,173.298,-2.28683,-49.1051,-130.236,-60.8773,-132.469,1.21381,3.18993,-11.3549,0.488247,1.27673,0.111302,3.05539,-0.836957,-0.208018
0.083,1.38624,-100.382,87.4677,-1.54232,173.37,-2.21951,-48.3141,-130.997,-60.8773,-132.469,1.28629,3.25321,-11.4753,0.426769,1.36967,0.116319,3.04707,-0.818883,-0.210364
0.084,-1.76287,-99.25,87.5388,-1.49524,173.441,-2.15256,-49.6703,-130.811,-60.8773,-132.469,1.36131,3.31564,-11.5932,0.365056,1.46354,0.121419,3.0378,-0.801897,-0.212599
0.085,-2.34413,-98.904,87.6101,-1.44881,173.512,-2.08621,-49.7295,-130.997,-60.8773,-132.469,1.43682,3.37784,-11.7093,0.302947,1.55756,0.126499,3.02797,-0.785013,-0.214843
0.086,-2.44573,-98.2208,87.6813,-1.40305,173.584,-2.02046,-49.5818,-130.468,-60.8773,-132.469,1.51245,3.43954,-11.8235,0.240876,1.65159,0.131584,3.01777,-0.768029,-0.217035
0.087,-5.52325,-98.8027,87.7524,-1.35785,173.655,-1.95518,-50.6602,-131.299,-60.8773,-132.469,1.59056,3.50175,-11.935,0.177929,1.74641,0.136965,3.0072,-0.752194,-0.219028
0.088,-6.58379,-98.6042,87.8237,-1.31309,173.726,-1.89031,-50.937,-131.19,-60.8773,-132.47,1.66956,3.56386,-12.0444,0.11474,1.84151,0.142399,2.99634,-0.736646,-0.220975
0.089,-7.85134,-98.467,87.8951,-1.26882,173.798,-1.82584,-51.2647,-131.055,-60.8773,-132.47,1.74961,3.62591,-12.1518,0.0513269,1.93693,0.147967,2.98524,-0.721504,-0.222802
0.09,-9.20951,-98.3811,87.9665,-1.22501,173.87,-1.76177,-51.6096,-130.878,-60.8773,-132.47,1.83078,3.68795,-12.2571,-0.0122875,2.03268,0.153712,2.97396,-0.706815,-0.224471
0.091,-10.5774,-98.337,88.0382,-1.18161,173.941,-1.69805,-51.9601,-130.667,-60.8772,-132.47,1.91308,3.75,-12.3603,-0.0760855,2.12877,0.159657,2.96255,-0.692582,-0.225963
0.092,-11.9047,-98.3375,88.11,-1.13861,174.013,-1.63465,-52.2958,-130.436,-60.8772,-132.47,1.99648,3.81211,-12.4614,-0.140053,2.22518,0.165815,2.95105,-0.67878,-0.227267
0.093,-13.1262,-98.3945,88.1821,-1.09594,174.085,-1.57154,-52.601,-130.209,-60.8772,-132.47,2.08089,3.87431,-12.5605,-0.204194,2.32191,0.172199,2.93951,-0.665355,-0.228373
0.094,-14.1074,-98.5435,88.2544,-1.05355,174.158,-1.50867,-52.8151,-130.021,-60.8772,-132.47,2.16614,3.93669,-12.6574,-0.268527,2.4189,0.178832,2.92797,-0.652193,-0.229259
