"Timestamp","Actual_CPX","Actual_CPY","Target_CPX","Target_CPY","Target_CaptureFootX","Target_CaptureFootY","Target_CaptureFootZ"
9.476,43.1176,-3.2853,323.862,-18.541,323.862,-18.541,1.7417e-05
9.477,43.1521,-3.47739,323.862,-18.541,323.862,-18.541,1.7417e-05
9.478,43.1765,-3.65382,323.862,-18.541,323.862,-18.541,1.7417e-05
9.479,43.2026,-3.82934,323.862,-18.541,323.862,-18.541,1.7417e-05
9.48,43.2369,-4.01424,323.862,-18.541,323.862,-18.541,1.7417e-05
9.481,43.2836,-4.21438,323.862,-18.541,323.862,-18.541,1.7417e-05
9.482,43.3463,-4.43164,323.862,-18.541,323.862,-18.541,1.7417e-05
9.483,43.4282,-4.66441,323.862,-18.541,323.862,-18.541,1.7417e-05
9.484,43.5328,-4.90815,323.862,-18.541,323.862,-18.541,1.7417e-05
9.485,43.6647,-5.15661,323.862,-18.541,323.862,-18.541,1.7417e-05
9.486,43.7095,-5.49648,323.862,-18.541,323.862,-18.541,1.7417e-05
9.487,43.6982,-5.8317,323.862,-18.541,323.862,-18.541,1.7417e-05
9.488,43.6649,-6.13689,323.862,-18.541,323.862,-18.541,1.7417e-05
9.489,43.628,-6.39581,323.862,-18.541,323.862,-18.541,1.7417e-05
9.49,43.5999,-6.59583,323.862,-18.541,323.862,-18.541,1.7417e-05
9.491,43.5902,-6.72655,323.862,-18.541,323.862,-18.541,1.7417e-05
9.492,43.6078,-6.77927,323.862,-18.541,323.862,-18.541,1.7417e-05
9.493,43.6613,-6.74693,323.862,-18.541,323.862,-18.541,1.7417e-05
9.494,43.7591,-6.62401,323.862,-18.541,323.862,-18.541,1.7417e-05
9.495,43.9094,-6.4064,323.862,-18.541,323.862,-18.541,1.7417e-05
9.496,44.0727,-6.23626,323.862,-18.541,323.862,-18.541,1.7417e-05
9.497,44.2375,-6.11806,323.862,-18.541,323.862,-18.541,1.7417e-05
9.498,44.4,-6.03792,323.862,-18.541,323.862,-18.541,1.7417e-05
9.499,44.5564,-5.98309,323.862,-18.541,323.862,-18.541,1.7417e-05
9.5,44.7016,-5.94114,323.862,-18.541,323.862,-18.541,1.7417e-05
9.501,44.8303,-5.89986,323.862,-18.541,323.862,-18.541,1.7417e-05
9.502,44.9371,-5.848,323.862,-18.541,323.862,-18.541,1.7417e-05
9.503,45.0172,-5.77617,323.862,-18.541,323.862,-18.541,1.7417e-05
9.504,45.0659,-5.67725,323.862,-18.541,323.862,-18.541,1.7417e-05
9.505,45.0782,-5.54666,323.862,-18.541,323.862,-18.541,1.7417e-05
9.506,45.0227,-5.45147,323.862,-18.541,323.862,-18.541,1.7417e-05
9.507,44.9253,-5.36714,323.862,-18.541,323.862,-18.541,1.7417e-05
9.508,44.8084,-5.27945,323.862,-18.541,323.862,-18.541,1.7417e-05
9.509,44.6879,-5.17726,323.862,-18.541,323.862,-18.541,1.7417e-05
9.51,44.5761,-5.05209,323.862,-18.541,323.862,-18.541,1.7417e-05
9.511,44.4837,-4.8978,323.862,-18.541,323.862,-18.541,1.7417e-05
9.512,44.4193,-4.71148,323.862,-18.541,323.862,-18.541,1.7417e-05
9.513,44.3944,-4.49204,323.862,-18.541,323.862,-18.541,1.7417e-05
9.514,44.4188,-4.23964,323.862,-18.541,323.862,-18.541,1.7417e-05
9.515,44.5021,-3.9555,323.862,-18.541,323.862,-18.541,1.7417e-05
9.516,44.6038,-3.68106,323.862,-18.541,323.862,-18.541,1.7417e-05
9.517,44.7085,-3.41193,323.862,-18.541,323.862,-18.541,1.7417e-05
