"Timestamp","Trajectory_LeftLeg_Joint6","Trajectory_LeftLeg_Joint5","Trajectory_LeftLeg_Joint4","Trajectory_LeftLeg_Joint3","Trajectory_LeftLeg_Joint2","Trajectory_LeftLeg_Joint1","Trajectory_RightLeg_Joint1","Trajectory_RightLeg_Joint2","Trajectory_RightLeg_Joint3","Trajectory_RightLeg_Joint4","Trajectory_RightLeg_Joint5","Trajectory_RightLeg_Joint6","Trajectory_Torso_Joint1","Trajectory_Torso_Joint2","Trajectory_LeftArm_Joint3","Trajectory_RightArm_Joint3","Actual_LeftFootX","Actual_LeftFootY","Actual_LeftFootZ","Actual_RightFootX","Actual_RightFootY","Actual_RightFootZ","Target_LeftFootX","Target_LeftFootY","Target_LeftFootZ","Target_RightFootX","Target_RightFootY","Target_RightFootZ","Target_CoMX","Target_CoMY","Target_CoMZ","Actual_CoMX","Actual_CoMY","Actual_CoMZ"
0.027,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.268921,-0.883704,0.501015,172.328,-3.22441,0.620296,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.1437,-21.3287,892.2
0.028,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.310701,-0.9269,0.495015,172.35,-3.23462,0.615606,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.1198,-21.337,892.128
0.029,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.354006,-0.971148,0.488358,172.372,-3.2451,0.610197,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.0951,-21.3458,892.052
0.03,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.398888,-1.01648,0.481091,172.395,-3.25587,0.604122,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.0694,-21.3549,891.972
0.031,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.445395,-1.06294,0.47325,172.418,-3.26693,0.597427,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.0429,-21.3645,891.89
0.032,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.493568,-1.11057,0.464872,172.443,-3.27829,0.590153,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,94.0155,-21.3746,891.805
0.033,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.543441,-1.15943,0.455985,172.467,-3.28995,0.582331,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.9871,-21.3852,891.716
0.034,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.595042,-1.20956,0.446617,172.493,-3.30193,0.573988,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.9578,-21.3963,891.625
0.035,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.648387,-1.26103,0.43679,172.519,-3.31423,0.565155,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.9276,-21.4079,891.53
0.036,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.703486,-1.3139,0.426525,172.546,-3.32685,0.555849,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.8964,-21.42,891.433
0.037,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.760343,-1.36824,0.415836,172.574,-3.3398,0.546093,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.8643,-21.4327,891.333
0.038,-0.192351,-0.00765519,0.33035,0.0664017,0.0622358,-0.104311,0.0576527,-0.10039,-0.100699,0.327431,0.0229967,-0.182843,1.10855e-08,-6.87696e-09,0.3,-0.3,-0.818955,-1.42411,0.404738,172.602,-3.35308,0.535906,-13.99,-1.09148,0,185.773,-1.92314,0.000780106,0.000113596,1.27174e-05,0.86,93.8312,-21.446,891.23
